1	"Ca22chr1A_C_albicans_SC5314"	1632	1704	"+"	1645	20.9958621939684	9.85422752479971	1645	1657	13
2	"Ca22chr1A_C_albicans_SC5314"	6562	6604	"+"	6574	1.12846799074319	0.270196561163863	6563	6604	42
3	"Ca22chr1A_C_albicans_SC5314"	6731	6757	"+"	6738	12.8104957822396	6.50061138329529	6738	6742	5
4	"Ca22chr1A_C_albicans_SC5314"	10399	10409	"+"	10409	0.635756614503207	0.492711376239986	10400	10409	10
5	"Ca22chr1A_C_albicans_SC5314"	11008	11187	"+"	11097	13.9071759422577	2.30461772757413	11046	11163	118
6	"Ca22chr1A_C_albicans_SC5314"	12116	12484	"+"	12150	1015.38278293844	584.562313120337	12144	12159	16
7	"Ca22chr1A_C_albicans_SC5314"	12504	12574	"+"	12511	7.99463942737783	2.68607169627605	12511	12548	38
8	"Ca22chr1A_C_albicans_SC5314"	12602	12743	"+"	12683	5.08605291602566	0.667544445228368	12605	12731	127
9	"Ca22chr1A_C_albicans_SC5314"	12776	12815	"+"	12797	12.4608296442629	11.3641494842448	12797	12797	1
10	"Ca22chr1A_C_albicans_SC5314"	12837	12857	"+"	12857	2.1615724893109	2.05031508177284	12857	12857	1
11	"Ca22chr1A_C_albicans_SC5314"	12923	13010	"+"	12962	2.84501084990185	0.937741006392231	12924	13010	87
12	"Ca22chr1A_C_albicans_SC5314"	13180	13271	"+"	13211	4.48208413224761	2.35229947366187	13193	13253	61
13	"Ca22chr1A_C_albicans_SC5314"	13760	13806	"+"	13766	95.3634921754811	37.2394436945254	13766	13777	12
14	"Ca22chr1A_C_albicans_SC5314"	13883	13950	"+"	13885	9.01185001058296	3.48076746440506	13884	13895	12
15	"Ca22chr1A_C_albicans_SC5314"	14306	14424	"+"	14307	5.10194683138824	0.810589683491589	14307	14424	118
16	"Ca22chr1A_C_albicans_SC5314"	14536	14538	"+"	14538	0.588074868415467	0.445029630152245	14537	14538	2
